ProductKey,Supplier,HierarchyLevel1,HierarchyLevel2,DIorDOM,Seasonal
30437,13194,80445,28611,DOM,False
68587,13194,80445,28611,DOM,False
46645,13194,80445,28611,DOM,False
49343,13194,80445,28611,DOM,False
64223,13194,80445,28611,DOM,False
29468,13194,80445,47024,DOM,False
39007,13194,80445,28611,DOM,False
8573,13194,80445,28611,DOM,False
25655,13194,80445,28611,DOM,False
12291,13194,80445,28611,DOM,False
42010,13194,80445,28611,DOM,False
71721,13194,80445,28611,DOM,False
37031,13194,80445,28611,DOM,False
44182,13194,80445,28611,DOM,False
79268,13194,80445,28611,DOM,False
75830,13194,80445,28611,DOM,False
8568,13194,80445,28611,DOM,False
72499,13194,80445,28611,DOM,False
58616,13194,80445,28611,DOM,False
73507,13194,80445,28611,DOM,False
4188,13194,80445,28611,DOM,False
42889,13194,80445,28611,DOM,False
75364,13194,80445,28611,DOM,False
59742,13194,80445,28611,DOM,False
79752,13194,80445,28611,DOM,False
30730,13194,80445,28611,DOM,False
73081,13194,80445,28611,DOM,False
64938,13194,80445,28611,DOM,False
1231,13194,80445,28611,DOM,False
26642,13194,80445,28611,DOM,False
12675,13194,80445,28611,DOM,False
8104,13194,80445,28611,DOM,False
22413,13194,80445,28611,DOM,False
26163,13194,80445,28611,DOM,False
34092,13194,80445,28611,DOM,False
45248,13194,80445,28611,DOM,False
66084,13194,80445,28611,DOM,False
30840,13194,80445,28611,DOM,False
11001,13194,80445,28611,DOM,False
66094,13194,80445,28611,DOM,False
65873,13194,80445,28611,DOM,False
22175,13194,80445,28611,DOM,False
30502,13194,80445,28611,DOM,False
23212,13194,80445,28611,DOM,False
35769,13194,80445,28611,DOM,False
34977,13194,80445,28611,DOM,False
13584,13194,80445,28611,DOM,False
69470,13194,80445,28611,DOM,False
23038,13194,80445,28611,DOM,False
13473,13194,80445,28611,DOM,False
15724,13194,80445,28611,DOM,False
2064,13194,80445,28611,DOM,False
38845,13194,80445,28611,DOM,False
70424,13194,80445,28611,DOM,False
35044,13194,80445,28611,DOM,False
6068,13194,80445,28611,DOM,False
27893,13194,80445,28611,DOM,False
32169,13194,80445,28611,DOM,False
69277,13194,80445,28611,DOM,False
19774,13194,80445,28611,DOM,False
57509,13194,80445,28611,DOM,False
13383,13194,80445,28611,DOM,False
21330,13194,80445,28611,DOM,False
74146,13194,80445,28611,DOM,False
66864,13194,80445,28611,DOM,False
34159,13194,80445,28611,DOM,False
17679,13194,80445,28611,DOM,False
5261,13194,80445,28611,DOM,False
3555,13194,80445,28611,DOM,False
78563,13194,80445,28611,DOM,False
42188,13194,80445,28611,DOM,False
51165,13194,80445,28611,DOM,False
71994,13194,80445,28611,DOM,False
39429,13194,80445,28611,DOM,False
60938,13194,80445,28611,DOM,False
9705,13194,80445,28611,DOM,False
53398,13194,80445,28611,DOM,False
1693,13194,80445,28611,DOM,False
14663,13194,80445,28611,DOM,False
67202,13194,80445,28611,DOM,False
47186,13194,80445,28611,DOM,False
61687,13194,80445,28611,DOM,False
37373,13194,80445,28611,DOM,False
39497,13194,80445,28611,DOM,False
19942,13194,80445,28611,DOM,False
78970,13194,80445,28611,DOM,False
46412,13194,80445,28611,DOM,False
18455,13194,80445,28611,DOM,False
52825,13194,80445,28611,DOM,False
53573,13194,80445,28611,DOM,False
11546,13194,80445,28611,DOM,False
13224,13194,80445,28611,DOM,False
13756,13194,80445,28611,DOM,False
46104,13194,80445,28611,DOM,False
41430,13194,80445,28611,DOM,False
29131,13194,80445,28611,DOM,False
79104,13194,80445,28611,DOM,False
56778,13194,80445,28611,DOM,False
14221,13194,80445,28611,DOM,False
6047,13194,80445,28611,DOM,False
30733,13194,80445,28611,DOM,False
32382,13194,80445,28611,DOM,False
39757,13194,80445,28611,DOM,False
28814,13194,80445,28611,DOM,False
29585,13194,80445,28611,DOM,False
2495,13194,80445,28611,DOM,False
52124,13194,80445,28611,DOM,False
13134,13194,80445,28611,DOM,False
4368,13194,80445,28611,DOM,False
121,13194,80445,28611,DOM,False
20450,13194,80445,28611,DOM,False
61393,13194,80445,28611,DOM,False
60296,13194,80445,28611,DOM,False
58855,13194,80445,28611,DOM,False
75458,13194,80445,28611,DOM,False
43996,13194,80445,28611,DOM,False
37346,13194,80445,28611,DOM,False
46166,13194,80445,28611,DOM,False
26523,13194,80445,28611,DOM,False
2015,13194,80445,28611,DOM,False
17470,13194,80445,28611,DOM,False
73933,13194,80445,28611,DOM,False
80053,13194,80445,28611,DOM,False
57650,13194,80445,28611,DOM,False
4483,13194,80445,28611,DOM,False
50675,13194,80445,28611,DOM,False
13467,13194,80445,28611,DOM,False
13729,13194,80445,28611,DOM,False
72470,13194,80445,28611,DOM,False
6546,13194,80445,28611,DOM,False
55779,13194,80445,28611,DOM,False
29515,13194,80445,28611,DOM,False
35503,13194,80445,28611,DOM,False
